,Movie Title,Opening,Total Gross,% of Total,Theaters,Average per Theater,Date,Season Number,Release Year,Movie & Year,Season Name
0,Avengers: Endgame,357115007,858373000,41.6%,4662,76601,2019-04-26,2,2019,Avengers: Endgame (2019),Spring
1,Avengers: Infinity War,257698183,678815482,38%,4474,57599,2018-04-27,2,2018,Avengers: Infinity War (2018),Spring
2,Star Wars: Episode VII - The Force Awakens,247966675,936662225,26.5%,4134,59982,2015-12-18,1,2015,Star Wars: Episode VII - The Force Awakens (2015),Winter
3,Star Wars: Episode VIII - The Last Jedi,220009584,620181382,35.5%,4232,51987,2017-12-15,1,2017,Star Wars: Episode VIII - The Last Jedi (2017),Winter
4,Jurassic World,208806270,652270625,32%,4274,48855,2015-06-12,3,2015,Jurassic World (2015),Summer
5,The Avengers,207438708,623357910,33.3%,4349,47698,2012-05-04,2,2012,The Avengers (2012),Spring
6,Black Panther,202003951,700059566,28.9%,4020,50249,2018-02-16,1,2018,Black Panther (2018),Winter
7,The Lion King,191770759,543638043,35.3%,4725,40586,2019-07-19,3,2019,The Lion King (2019),Summer
8,Avengers: Age of Ultron,191271109,459005868,41.7%,4276,44731,2015-05-01,2,2015,Avengers: Age of Ultron (2015),Spring
9,The Incredibles 2,182687905,608581744,30%,4410,41425,2018-06-15,3,2018,The Incredibles 2 (2018),Summer
10,Captain America: Civil War,179139142,408084349,43.9%,4226,42389,2016-05-06,2,2016,Captain America: Civil War (2016),Spring
11,Star Wars: The Rise of Skywalker,177383864,515202542,34.4%,4406,40259,2019-12-20,1,2019,Star Wars: The Rise of Skywalker (2019),Winter
12,Beauty and the Beast,174750616,504014165,34.7%,4210,41508,2017-03-17,2,2017,Beauty and the Beast (2017),Spring
13,Iron Man 3,174144585,409013994,42.6%,4253,40946,2013-05-03,2,2013,Iron Man 3 (2013),Spring
14,Harry Potter and the Deathly Hallows: Part 2,169189427,381011219,44.4%,4375,38671,2011-07-15,3,2011,Harry Potter and the Deathly Hallows: Part 2 (2011),Summer
15,Batman v Superman: Dawn of Justice,166007347,330360194,50.2%,4242,39134,2016-03-25,2,2016,Batman v Superman: Dawn of Justice (2016),Spring
16,The Dark Knight Rises,160887295,448139099,35.9%,4404,36532,2012-07-20,3,2012,The Dark Knight Rises (2012),Summer
17,The Dark Knight,158411483,533345358,29.7%,4366,36282,2008-07-18,3,2008,The Dark Knight (2008),Summer
18,The Hunger Games: Catching Fire,158074286,424668047,37.2%,4163,37971,2013-11-22,4,2013,The Hunger Games: Catching Fire (2013),Fall
19,Rogue One: A Star Wars Story,155081681,532177324,29.1%,4157,37306,2016-12-16,1,2016,Rogue One: A Star Wars Story (2016),Winter
20,Captain Marvel,153433423,426829839,36%,4310,35599,2019-03-08,2,2019,Captain Marvel (2019),Spring
21,The Hunger Games,152535747,408010692,37.4%,4137,36871,2012-03-23,2,2012,The Hunger Games (2012),Spring
22,Spider-Man 3,151116516,336530303,44.9%,4252,35540,2007-05-04,2,2007,Spider-Man 3 (2007),Spring
23,Jurassic World: Fallen Kingdom,148024610,417719760,35.4%,4475,33078,2018-06-22,3,2018,Jurassic World: Fallen Kingdom (2018),Summer
24,Furious 7,147187040,353007020,41.7%,4004,36760,2015-04-03,2,2015,Furious 7 (2015),Spring
25,Guardians of the Galaxy Vol. 2,146510104,389813101,37.6%,4347,33703,2017-05-05,2,2017,Guardians of the Galaxy Vol. 2 (2017),Spring
26,The Twilight Saga: New Moon,142839137,296623634,48.2%,4024,35496,2009-11-20,4,2009,The Twilight Saga: New Moon (2009),Fall
27,The Twilight Saga: Breaking Dawn - Part 2,141067634,292324737,48.3%,4070,34660,2012-11-16,4,2012,The Twilight Saga: Breaking Dawn - Part 2 (2012),Fall
28,The Twilight Saga: Breaking Dawn - Part 1,138122261,281287133,49.1%,4061,34011,2011-11-18,4,2011,The Twilight Saga: Breaking Dawn - Part 1 (2011),Fall
29,Pirates of the Caribbean: Dead Man's Chest,135634554,423315812,32%,4133,32817,2006-07-07,3,2006,Pirates of the Caribbean: Dead Man's Chest (2006),Summer
30,Finding Dory,135060273,486295561,27.8%,4305,31372,2016-06-17,3,2016,Finding Dory (2016),Summer
31,Suicide Squad,133682248,325100054,41.1%,4255,31417,2016-08-05,3,2016,Suicide Squad (2016),Summer
32,Deadpool,132434639,363070709,36.5%,3558,37221,2016-02-12,1,2016,Deadpool (2016),Winter
33,Frozen II,130263358,477373578,27.3%,4440,29338,2019-11-22,4,2019,Frozen II (2019),Fall
34,Iron Man 2,128122480,312433331,41%,4380,29251,2010-05-07,2,2010,Iron Man 2 (2010),Spring
35,Deadpool 2,125507153,318491426,39.4%,4349,28858,2018-05-18,2,2018,Deadpool 2 (2018),Spring
36,Harry Potter and the Deathly Hallows: Part 1,125017372,295983305,42.2%,4125,30307,2010-11-19,4,2010,Harry Potter and the Deathly Hallows: Part 1 (2010),Fall
37,It,123403419,327481748,37.7%,4103,30076,2017-09-08,4,2017,It (2017),Fall
38,Thor: Ragnarok,122744989,315058289,39%,4080,30084,2017-11-03,4,2017,Thor: Ragnarok (2017),Fall
39,The Hunger Games: Mockingjay - Part 1,121897634,337135885,36.2%,4151,29365,2014-11-21,4,2014,The Hunger Games: Mockingjay - Part 1 (2014),Fall
40,Shrek the Third,121629270,322719944,37.7%,4122,29507,2007-05-18,2,2007,Shrek the Third (2007),Spring
41,Toy Story 4,120908065,434038008,27.9%,4575,26427,2019-06-21,3,2019,Toy Story 4 (2019),Summer
42,Spider-Man: Homecoming,117027503,334201140,35%,4348,26915,2017-07-07,3,2017,Spider-Man: Homecoming (2017),Summer
43,Man of Steel,116619362,291045518,40.1%,4207,27720,2013-06-14,3,2013,Man of Steel (2013),Summer
44,Alice in Wonderland,116101023,334191110,34.7%,3728,31142,2010-03-05,2,2010,Alice in Wonderland (2010),Spring
45,Minions,115718405,336045770,34.4%,4301,26905,2015-07-10,3,2015,Minions (2015),Summer
46,Spider-Man,114844116,403706375,28.4%,3615,31768,2002-05-03,2,2002,Spider-Man (2002),Spring
47,Pirates of the Caribbean: At World's End,114732820,309420425,37.1%,4362,26302,2007-05-25,2,2007,Pirates of the Caribbean: At World's End (2007),Spring
48,Toy Story 3,110307189,415004880,26.6%,4028,27385,2010-06-18,3,2010,Toy Story 3 (2010),Summer
49,Transformers: Revenge of the Fallen,108966307,402111870,27.1%,4234,25736,2009-06-24,3,2009,Transformers: Revenge of the Fallen (2009),Summer
50,Star Wars: Episode III - Revenge of the Sith,108435841,380270577,28.5%,3661,29619,2005-05-19,2,2005,Star Wars: Episode III - Revenge of the Sith (2005),Spring
51,Shrek 2,108037878,441226247,24.5%,4163,25951,2004-05-19,2,2004,Shrek 2 (2004),Spring
52,The Secret Life of Pets,104352905,368384330,28.3%,4370,23879,2016-07-08,3,2016,The Secret Life of Pets (2016),Summer
53,The Jungle Book,103261464,364001123,28.4%,4028,25635,2016-04-15,2,2016,The Jungle Book (2016),Spring
54,Wonder Woman,103251471,412563408,25%,4165,24790,2017-06-02,3,2017,Wonder Woman (2017),Summer
55,X-Men: The Last Stand,102750665,234362462,43.8%,3690,27845,2006-05-26,2,2006,X-Men: The Last Stand (2006),Spring
56,Harry Potter and the Goblet of Fire,102685961,290013036,35.4%,3858,26616,2005-11-18,4,2005,Harry Potter and the Goblet of Fire (2005),Fall
57,The Hunger Games: Mockingjay - Part 2,102665981,281723902,36.4%,4175,24590,2015-11-20,4,2015,The Hunger Games: Mockingjay - Part 2 (2015),Fall
58,Indiana Jones and the Kingdom of the Crystal Skull,100137835,317101119,31.6%,4260,23506,2008-05-22,2,2008,Indiana Jones and the Kingdom of the Crystal Skull (2008),Spring
59,Transformers: Age of Extinction,100038390,245439076,40.8%,4233,23632,2014-06-27,3,2014,Transformers: Age of Extinction (2014),Summer
60,The Fate of the Furious,98786705,226008385,43.7%,4310,22920,2017-04-14,2,2017,The Fate of the Furious (2017),Spring
61,Iron Man,98618668,318604126,31%,4105,24024,2008-05-02,2,2008,Iron Man (2008),Spring
62,Transformers: Dark of the Moon,97852865,352390543,27.8%,4088,23936,2011-06-29,3,2011,Transformers: Dark of the Moon (2011),Summer
63,Fast & Furious 6,97375245,238679850,40.8%,3658,26619,2013-05-24,2,2013,Fast & Furious 6 (2013),Spring
64,Joker,96202337,335451311,28.7%,4374,21994,2019-10-04,4,2019,Joker (2019),Fall
65,Captain America: The Winter Soldier,95023721,259766572,36.6%,3938,24129,2014-04-04,2,2014,Captain America: The Winter Soldier (2014),Spring
66,Guardians of the Galaxy,94320883,333176600,28.3%,4080,23117,2014-08-01,3,2014,Guardians of the Galaxy (2014),Summer
67,Justice League,93842239,229024295,41%,4051,23165,2017-11-17,4,2017,Justice League (2017),Fall
68,Harry Potter and the Prisoner of Azkaban,93687367,249541069,37.5%,3855,24302,2004-06-04,3,2004,Harry Potter and the Prisoner of Azkaban (2004),Summer
69,Godzilla,93188384,200676069,46.4%,3952,23580,2014-05-16,2,2014,Godzilla (2014),Spring
70,Spider-Man: Far from Home,92579212,390532085,23.7%,4634,19978,2019-07-02,3,2019,Spider-Man: Far from Home (2019),Summer
71,The Matrix Reloaded,91774413,281576461,32.6%,3603,25471,2003-05-15,2,2003,The Matrix Reloaded (2003),Spring
72,The Amazing Spider-Man 2,91608337,202853933,45.2%,4324,21186,2014-05-02,2,2014,The Amazing Spider-Man 2 (2014),Spring
73,Aladdin,91500929,355559216,25.7%,4476,20442,2019-05-24,2,2019,Aladdin (2019),Spring
74,It Chapter Two,91062152,211593228,43%,4570,19926,2019-09-06,4,2019,It Chapter Two (2019),Fall
75,X-Men: Days of Future Past,90823660,233921534,38.8%,3996,22728,2014-05-23,2,2014,X-Men: Days of Future Past (2014),Spring
76,Inside Out,90440272,356461711,25.4%,3946,22919,2015-06-19,3,2015,Inside Out (2015),Summer
77,Harry Potter and the Sorcerer's Stone,90294621,317575550,28.4%,3672,24590,2001-11-16,4,2001,Harry Potter and the Sorcerer's Stone (2001),Fall
78,Pirates of the Caribbean: On Stranger Tides,90151958,241071802,37.4%,4155,21697,2011-05-20,2,2011,Pirates of the Caribbean: On Stranger Tides (2011),Spring
79,Logan,88411916,226277068,39.1%,4071,21717,2017-03-03,2,2017,Logan (2017),Spring
80,Skyfall,88364714,304360277,29%,3505,25211,2012-11-09,4,2012,Skyfall (2012),Fall
81,Harry Potter and the Chamber of Secrets,88357488,261988482,33.7%,3682,23997,2002-11-15,4,2002,Harry Potter and the Chamber of Secrets (2002),Fall
82,Spider-Man 2,88156227,373585825,23.6%,4152,21232,2004-06-30,3,2004,Spider-Man 2 (2004),Summer
83,Fast Five,86198765,209837675,41.1%,3644,23654,2011-04-29,2,2011,Fast Five (2011),Spring
84,The Hangover Part II,85946294,254464305,33.8%,3615,23774,2011-05-26,2,2011,The Hangover Part II (2011),Spring
85,Thor: The Dark World,85737841,206362140,41.6%,3841,22321,2013-11-08,4,2013,Thor: The Dark World (2013),Fall
86,X2: X-Men United,85558731,214949694,39.8%,3741,22870,2003-05-02,2,2003,X2: X-Men United (2003),Spring
87,Fifty Shades of Grey,85171450,166167230,51.3%,3646,23360,2015-02-13,1,2015,Fifty Shades of Grey (2015),Winter
88,Doctor Strange,85058311,232641920,36.6%,3882,21910,2016-11-04,4,2016,Doctor Strange (2016),Fall
89,X-Men Origins: Wolverine,85058003,179883157,47.3%,4099,20750,2009-05-01,2,2009,X-Men Origins: Wolverine (2009),Spring
90,The Hobbit: An Unexpected Journey,84617303,303003568,27.9%,4045,20918,2012-12-14,1,2012,The Hobbit: An Unexpected Journey (2012),Winter
91,Solo: A Star Wars Story,84420489,213767512,39.5%,4381,19269,2018-05-25,2,2018,Solo: A Star Wars Story (2018),Spring
92,The Passion of the Christ,83848082,370274604,22.6%,3043,27554,2004-02-25,1,2004,The Passion of the Christ (2004),Winter
93,Despicable Me 2,83517315,368065385,22.7%,3997,20895,2013-07-03,3,2013,Despicable Me 2 (2013),Summer
94,Monsters University,82429469,268492764,30.7%,4004,20586,2013-06-21,3,2013,Monsters University (2013),Summer
95,Venom,80255756,213515506,37.6%,4250,18883,2018-10-05,4,2018,Venom (2018),Fall
96,Star Wars: Episode II - Attack of the Clones,80027814,302191252,26.5%,3161,25317,2002-05-16,2,2002,Star Wars: Episode II - Attack of the Clones (2002),Spring
97,Oz The Great and Powerful,79110453,234911825,33.7%,3912,20222,2013-03-08,2,2013,Oz The Great and Powerful (2013),Spring
98,Harry Potter and the Half-Blood Prince,77835727,301959197,25.8%,4325,17996,2009-07-15,3,2009,Harry Potter and the Half-Blood Prince (2009),Summer
99,I Am Legend,77211321,256393010,30.1%,3606,21411,2007-12-14,1,2007,I Am Legend (2007),Winter
100,Harry Potter and the Order of the Phoenix,77108414,292004738,26.4%,4285,17994,2007-07-11,3,2007,Harry Potter and the Order of the Phoenix (2007),Summer
101,The Da Vinci Code,77073388,217536138,35.4%,3735,20635,2006-05-19,2,2006,The Da Vinci Code (2006),Spring
102,Avatar,77025481,749766139,10.3%,3452,22313,2009-12-18,1,2009,Avatar (2009),Winter
103,Halloween,76221545,159342015,47.8%,3928,19404,2018-10-19,4,2018,Halloween (2018),Fall
104,Ant-Man and the Wasp,75812205,216648740,35%,4206,18024,2018-07-06,3,2018,Ant-Man and the Wasp (2018),Summer
105,Star Trek,75204289,257730019,29.2%,3849,19538,2009-05-08,2,2009,Star Trek (2009),Spring
106,Zootopia,75063401,341268248,22%,3827,19614,2016-03-04,2,2016,Zootopia (2016),Spring
107,Fantastic Beasts and Where to Find Them,74403387,234037575,31.8%,4144,17954,2016-11-18,4,2016,Fantastic Beasts and Where to Find Them (2016),Fall
108,The Simpsons Movie,74036787,183135014,40.4%,3922,18877,2007-07-27,3,2007,The Simpsons Movie (2007),Summer
109,The Hobbit: The Desolation of Smaug,73645197,258366855,28.5%,3903,18868,2013-12-13,1,2013,The Hobbit: The Desolation of Smaug (2013),Winter
110,Austin Powers in Goldmember,73071188,213307889,34.3%,3613,20224,2002-07-26,3,2002,Austin Powers in Goldmember (2002),Summer
111,The Lord of the Rings: The Return of the King,72629713,377027325,19.3%,3703,19613,2003-12-17,1,2003,The Lord of the Rings: The Return of the King (2003),Winter
112,Dawn of the Planet of the Apes,72611427,208545589,34.8%,3967,18303,2014-07-11,3,2014,Dawn of the Planet of the Apes (2014),Summer
113,Despicable Me 3,72434025,264624300,27.4%,4529,15993,2017-06-30,3,2017,Despicable Me 3 (2017),Summer
114,The Lost World: Jurassic Park,72132785,229086679,31.5%,3281,21985,1997-05-23,2,1997,The Lost World: Jurassic Park (1997),Spring
115,Us,71117625,175084580,40.6%,3741,19010,2019-03-22,2,2019,Us (2019),Spring
116,Fast & Furious,70950500,155064265,45.8%,3461,20500,2009-04-03,2,2009,Fast & Furious (2009),Spring
117,300,70885301,210614939,33.7%,3103,22844,2007-03-09,2,2007,300 (2007),Spring
118,Shrek Forever After,70838207,238736787,29.7%,4359,16251,2010-05-21,2,2010,Shrek Forever After (2010),Spring
119,Transformers,70502384,319246193,22.1%,4011,17577,2007-07-03,3,2007,Transformers (2007),Summer
120,The Incredibles,70467623,261441092,27%,3933,17917,2004-11-05,4,2004,The Incredibles (2004),Fall
121,Spectre,70403148,200074609,35.2%,3929,17918,2015-11-06,4,2015,Spectre (2015),Fall
122,Finding Nemo,70251710,339714978,20.7%,3374,20821,2003-05-30,2,2003,Finding Nemo (2003),Spring
123,The Lorax,70217070,214030500,32.8%,3729,18830,2012-03-02,2,2012,The Lorax (2012),Spring
124,Star Trek Into Darkness,70165559,228778661,30.7%,3868,18140,2013-05-16,2,2013,Star Trek Into Darkness (2013),Spring
125,Twilight,69637740,192769854,36.1%,3419,20367,2008-11-21,4,2008,Twilight (2008),Fall
126,Maleficent,69431298,241410378,28.8%,3948,17586,2014-05-30,2,2014,Maleficent (2014),Spring
127,The Bourne Ultimatum,69283690,227471070,30.5%,3660,18929,2007-08-03,3,2007,The Bourne Ultimatum (2007),Summer
128,Pitch Perfect 2,69216890,184296230,37.6%,3473,19930,2015-05-15,2,2015,Pitch Perfect 2 (2015),Spring
129,The Lego Movie,69050279,257760692,26.8%,3775,18291,2014-02-07,1,2014,The Lego Movie (2014),Winter
130,The Day After Tomorrow,68743584,186740799,36.8%,3425,20071,2004-05-28,2,2004,The Day After Tomorrow (2004),Spring
131,Planet of the Apes,68532960,180011740,38.1%,3500,19580,2001-07-27,3,2001,Planet of the Apes (2001),Summer
132,The Mummy Returns,68139035,202019785,33.7%,3401,20035,2001-05-04,2,2001,The Mummy Returns (2001),Spring
133,Up,68108790,293004164,23.2%,3766,18085,2009-05-29,2,2009,Up (2009),Spring
134,Ice Age: The Meltdown,68033544,195330621,34.8%,3964,17162,2006-03-31,2,2006,Ice Age: The Meltdown (2006),Spring
135,Bruce Almighty,67953330,242829261,28%,3483,19510,2003-05-23,2,2003,Bruce Almighty (2003),Spring
136,Cinderella,67877361,201151353,33.7%,3845,17653,2015-03-13,2,2015,Cinderella (2015),Spring
137,Aquaman,67873522,335061807,20.3%,4125,16454,2018-12-21,1,2018,Aquaman (2018),Winter
138,Dr. Seuss' the Grinch,67572855,270620950,25%,4141,16318,2018-11-09,4,2018,Dr. Seuss' the Grinch (2018),Fall
139,Quantum of Solace,67528882,168368427,40.1%,3451,19567,2008-11-14,4,2008,Quantum of Solace (2008),Fall
140,Rush Hour 2,67408222,226164286,29.8%,3118,21619,2001-08-03,3,2001,Rush Hour 2 (2001),Summer
141,World War Z,66411834,202359711,32.8%,3607,18411,2013-06-21,3,2013,World War Z (2013),Summer
142,Brave,66323594,237283207,28%,4164,15927,2012-06-22,3,2012,Brave (2012),Summer
143,Cars 2,66135507,191452396,34.5%,4115,16071,2011-06-24,3,2011,Cars 2 (2011),Summer
144,X-Men: Apocalypse,65769562,155442489,42.3%,4150,15848,2016-05-27,2,2016,X-Men: Apocalypse (2016),Spring
145,Thor,65723338,181030624,36.3%,3955,16617,2011-05-06,2,2011,Thor (2011),Spring
146,Teenage Mutant Ninja Turtles,65575105,191204754,34.3%,3845,17054,2014-08-08,3,2014,Teenage Mutant Ninja Turtles (2014),Summer
147,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",65556312,291710957,22.5%,3616,18129,2005-12-09,1,2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",Winter
148,2012,65237614,166112167,39.3%,3404,19164,2009-11-13,4,2009,2012 (2009),Fall
149,Captain America: The First Avenger,65058524,176654505,36.8%,3715,17512,2011-07-22,3,2011,Captain America: The First Avenger (2011),Summer
150,War of the Worlds,64878725,234280354,27.7%,3908,16601,2005-06-29,3,2005,War of the Worlds (2005),Summer
151,The Twilight Saga: Eclipse,64832191,300531751,21.6%,4468,14510,2010-06-30,3,2010,The Twilight Saga: Eclipse (2010),Summer
152,Star Wars: Episode I - The Phantom Menace,64820970,431088295,15%,2970,21825,1999-05-19,2,1999,Star Wars: Episode I - The Phantom Menace (1999),Spring
153,Madagascar: Escape 2 Africa,63106589,180010950,35.1%,4056,15558,2008-11-07,4,2008,Madagascar: Escape 2 Africa (2008),Fall
154,WALL·E,63087526,223808164,28.2%,3992,15803,2008-06-27,3,2008,WALL·E (2008),Summer
155,Pirates of the Caribbean: Dead Men Tell No Tales,62983253,172558876,36.5%,4276,14729,2017-05-26,2,2017,Pirates of the Caribbean: Dead Men Tell No Tales (2017),Spring
156,Inception,62785337,292576195,21.5%,3792,16557,2010-07-16,3,2010,Inception (2010),Summer
157,Hancock,62603879,227946274,27.5%,3965,15789,2008-07-02,3,2008,Hancock (2008),Summer
158,"Monsters, Inc.",62577067,255873250,24.5%,3237,19331,2001-11-02,4,2001,"Monsters, Inc. (2001)",Fall
159,Bad Boys for Life,62504105,204417855,30.6%,3775,16557,2020-01-17,1,2020,Bad Boys for Life (2020),Winter
160,Sherlock Holmes,62304277,209028679,29.8%,3626,17182,2009-12-25,1,2009,Sherlock Holmes (2009),Winter
161,Fantastic Beasts: The Crimes of Grindelwald,62163104,159555901,39%,4163,14932,2018-11-16,4,2018,Fantastic Beasts: The Crimes of Grindelwald (2018),Fall
162,Hulk,62128420,132177234,47%,3660,16974,2003-06-20,3,2003,Hulk (2003),Summer
163,The Lord of the Rings: The Two Towers,62007528,339789881,18.2%,3622,17119,2002-12-18,1,2002,The Lord of the Rings: The Two Towers (2002),Winter
164,The Amazing Spider-Man,62004688,262030663,23.7%,4318,14359,2012-07-03,3,2012,The Amazing Spider-Man (2012),Summer
165,Mission: Impossible - Fallout,61236534,220159104,27.8%,4386,13961,2018-07-27,3,2018,Mission: Impossible - Fallout (2018),Summer
166,Clash of the Titans,61235105,163214888,37.5%,3777,16212,2010-04-02,2,2010,Clash of the Titans (2010),Spring
167,Kong: Skull Island,61025472,168052812,36.3%,3846,15867,2017-03-10,2,2017,Kong: Skull Island (2017),Spring
168,Madagascar 3: Europe's Most Wanted,60316738,216391482,27.9%,4258,14165,2012-06-08,3,2012,Madagascar 3: Europe's Most Wanted (2012),Summer
169,Kung Fu Panda,60239130,215434591,28%,4114,14642,2008-06-06,3,2008,Kung Fu Panda (2008),Summer
170,Straight Outta Compton,60200180,161197785,37.4%,2757,21835,2015-08-14,3,2015,Straight Outta Compton (2015),Summer
171,Cars,60119509,244082982,24.6%,3985,15086,2006-06-09,3,2006,Cars (2006),Summer
172,Signs,60117080,227966634,26.4%,3264,18418,2002-08-02,3,2002,Signs (2002),Summer
173,Fast & Furious Presents: Hobbs & Shaw,60038950,173956935,34.5%,4253,14116,2019-08-02,3,2019,Fast & Furious Presents: Hobbs & Shaw (2019),Summer
174,Monsters vs. Aliens,59321095,198351526,29.9%,4104,14454,2009-03-27,2,2009,Monsters vs. Aliens (2009),Spring
